chr1	0.00504657
chr2	0.00539694
chr3	0.00505347
chr4	0.00613173
chr5	0.00581892
chr6	0.00566767
chr7	0.00546223
chr8	0.00568562
chr9	0.00549957
chr10	0.00548477
chr11	0.00604389
chr12	0.00560522
chr13	0.00530613
chr14	0.00605482
chr15	0.00647601
chr16	0.00614147
chr17	0.00613111
chr18	0.00709099
chr19	0.00624788
chr20	0.00605165
chr21	0.00680039
chr22	0.00617642
chr23	0.00645458
chr24	0.00665604
chr25	0.00632982
chr26	0.00535813
chr27	0.00564488
chr28	0.00690113
chr29	0.00492459
chr30	0.00543348
chr31	0.00329441
chr32	0.00107062
chr33	0.00884463
